Website,School,City and State,Type,Conference
https://www.loras.edu/,Loras College,"Dubuque, Iowa",Private,Iowa Intercollegiate Athletic Conference
https://www.luther.edu/,Luther College,"Decorah, Iowa",Private,American Rivers
https://www.lycoming.edu/,Lycoming College,"Williamsport, Pennsylvania",Private,Middle Atlantic Conferences
https://www.macalester.edu/,Macalester College,"St. Paul, Minnesota",Private,Minnesota Intercollegiate Athletic Conference
https://www.manchester.edu/,Manchester University,"North Manchester, Indiana",Private,Heartland Collegiate Athletic Conference
https://www.marietta.edu/,Marietta College,"Marietta, Ohio",Private,Ohio Athletic Conference
https://mlc-wels.edu/,Martin Luther College,"New Ulm, Minnesota",Private,Upper Midwest Athletic Conference
https://www.maryvillecollege.edu/,Maryville College,"Maryville, Tennessee",Private,Collegiate Conference of the South
https://web.mit.edu/,Massachusetts Institute of Technology – MIT,"Cambridge, Massachusetts",Private,New England Women's & Men's Athletic Conference
https://www.mcdaniel.edu/,McDaniel College,"Westminster, Maryland",Private,Centennial Conference
https://mcm.edu/,McMurry University,"Abilene, Texas",Private,American Southwest Conference
https://www.methodist.edu/,Methodist University,"Fayetteville, North Carolina",Private,USA South Athletic Conference
https://www.middlebury.edu/college/academics,Middlebury College,"Middlebury, Vermont",Private,New England Small College Athletic Conference
https://millikin.edu/,Millikin University,"Decatur, Illinois",Private,College Conference of Illinois and Wisconsin
https://www.millsaps.edu/,Millsaps College,"Jackson, Mississippi",Private,Southern Athletic Association
https://www.misericordia.edu/,Misericordia University,"Dallas, Pennsylvania",Private,Middle Atlantic Conferences
https://www.monmouthcollege.edu/,Monmouth College,"Monmouth, Illinois",Private,Midwest Conference
https://www.montclair.edu/,Montclair State University,"Montclair, New Jersey",Public,New Jersey Athletic Conference
https://www.moravian.edu/,Moravian University,"Bethlehem, Pennsylvania",Private,Centennial Conference
https://www.msj.edu/,Mount St. Joseph University,"Cincinnati, Ohio",Private,Heartland Collegiate Athletic Conference
https://www.muhlenberg.edu/,Muhlenberg College,"Allentown, Pennsylvania",Private,Centennial Conference
https://www.muskingum.edu/,Muskingum University,"New Concord, Ohio",Private,Ohio Athletic Conference
https://www.nebrwesleyan.edu/,Nebraska Wesleyan University,"Lincoln, Nebraska",Private,American Rivers
https://www.nichols.edu/,Nichols College,"Dudley, Massachusetts",Private,Commonwealth Coast Football
