FCS/FBS,Name of School,Conference,Private/Public,Camp link,Website,Adress
NCAA D1 FCS,Idaho State University,Big Sky Conference,Public,https://isubengals.com/sports/2011/4/28/FB_0428112309.aspx?id=56,https://www.isu.edu/,"Pocatello, Idaho"
NCAA D1 FCS,Illinois State University,Missouri Valley Conference,Public,https://www.spackfootballcamps.com/,https://illinoisstate.edu/,"Normal, Illinois"
NCAA D1 FCS,Indiana State University,Missouri Valley Football Conference,Public,https://camps.jumpforward.com/sycamorespotlight,https://www.indstate.edu/,"Terre Haute, Indiana"
NCAA D1 FBS,Indiana University,Big Ten Conference,Public,https://www.indianashowcase.com/,https://www.indiana.edu/,"Bloomington, Indiana"
NCAA D1 FBS,Iowa State University,Big 12 Conference,Public,https://www.iowastatefootballcamps.com/,https://www.iastate.edu/,"Ames, Iowa"
NCAA D1 FCS,Jackson State University,Southwestern Athletic Conference,Public,https://eliteunderclassmencamp.leagueapps.com/events/2306620-deion-sanders-football-camp,https://www.jsums.edu/,"Jackson, Mississippi"
NCAA D1 FCS,Jacksonville State University,Ohio Valley Conference,Public,https://www.richrodriguezfootballcamps.com/,https://www.jsu.edu/,"Jacksonville, Alabama"
NCAA D1 FCS,James Madison University,Colonial Athletic Association,Public,https://www.curtcignettifootballcamps.com/2023-elite-prospect-camps.cfm,https://www.jmu.edu/index.shtml,"Harrisonburg, Virginia"
NCAA D1 FBS,Kansas State University,Big 12 Conference,Public,https://www.kstatefootballcamps.com/,https://www.k-state.edu/,"Manhattan, Kansas"
NCAA D1 FCS,Kennesaw State University,Atlantic Sun Conference,Public,https://camps.jumpforward.com/brianbohannonfootballcamps,https://www.kennesaw.edu/,"Kennesaw, Georgia"
NCAA D1 FBS,Kent State University,Mid-American Conference,Public,https://www.kentstatefootballcamps.com/,https://www.kent.edu/,"Kent, Ohio"
NCAA D1 FCS,Lafayette College,Patriot League,Private,https://lafayettefootballcamps.totalcamps.com/About%20Us,https://www.lafayette.edu/,"Easton, Pennsylvania"
NCAA D1 FCS,Lamar University,Southland Conference,Public,https://lamarcardinals.com/sb_output.aspx?form=1059&path=football,https://www.lamar.edu/,"Beaumont, Texas"
NCAA D1 FCS,Lehigh University,Patriot League,Private,https://lehighsports.com/sports/2013/6/4/GEN_0604134835.aspx,https://www1.lehigh.edu/home,"Bethlehem, Pennsylvania"
NCAA D1 FCS,Liberty University,Atlantic Sun Conference,Private,https://www.liberty.edu/flames/camps/,https://www.liberty.edu/,"Lynchburg, Virginia"
NCAA D1 FCS,Lindenwood University,GLVC,Private,https://football.lindenwoodlionscamps.com/,https://www.lindenwood.edu/,"Saint Charles, Missouri"
NCAA D1 FCS,Long Island University,Northeast Conference,Private,https://www.roncooperliufootballcamps.com/,https://liu.edu/brooklyn,"Long Island, New York"
NCAA D1 FBS,Louisiana State University (LSU),Southeastern Conference,Public,https://lsusports.net/footballcamps/,https://www.lsu.edu/,"Baton Rouge, Louisiana"
NCAA D1 FBS,Louisiana Tech University,Conference USA,Public,https://www.sonnycumbiefootballcamps.com/,https://www.latech.edu/,"Ruston, Louisiana"
NCAA D1 FCS,Marist College,Metro Atlantic Athletic Conference,Private,https://maristfootball.totalcamps.com/About%20Us,https://www.marist.edu/,"Poughkeepsie, New York"
NCAA D1 FBS,Marshall University,Conference USA,Public,https://epay.marshall.edu/secure/cgi/mfootballcampssto.cgi,https://www.marshall.edu/,"Huntington, West Virginia"
NCAA D1 FCS,McNeese State University,Southland Conference,Public,https://www.garygofffootballcamps.com/,https://www.mcneese.edu/,"Lake Charles, Louisiana"
NCAA D1 FCS,Mercer University,Southern Conference,Private,https://www.drewcronicfootballcamps.com/,https://www.ncsasports.org/athletic-scholarships/football/georgia/mercer-university,"Macon, Georgia"
NCAA D1 FCS,Merrimack College,Northeast-10 Conference,Private,https://merrimackfootballclinics.totalcamps.com/About%20Us,https://www.merrimack.edu/,"North Andover, Massachusetts"
NCAA D1 FBS,Miami University,Mid-American Conference,Public,https://camps.jumpforward.com/miamifootball,http://miamioh.edu/,"Oxford, Ohio"
NCAA D1 FBS,Michigan State University,Big Ten Conference,Public,https://spartanyouth.msu.edu/Resource.aspx?ResourceID=102,https://msu.edu/,"East Lansing, Michigan"
NCAA D1 FBS,Middle Tennessee State University,Conference USA,Public,https://www.coachstockstillcamps.com/camps.cfm,https://www.mtsu.edu/,"Murfreesboro, Tennessee"
NCAA D1 FBS,Mississippi State University,NCAA (Division I),Public,https://www.hailstatecamps.com/football/,https://www.msstate.edu/,"Mississippi State, Mississippi"
NCAA D1 FCS,Mississippi Valley State University,Southwestern Athletic Conference,Public,https://www.mvsu.edu/MVSU-Vincent-Dancy-Football-Camp-Welcome,https://www.mvsu.edu/,"Itta Bena, Mississippi"
NCAA D1 FCS,Missouri State University,Missouri Valley Conference,Public,https://info.abcsportscamps.com/msufootball,https://www.missouristate.edu/,"Springfield, Missouri"
NCAA D1 FCS,Monmouth University,Northeast Conference,Private,https://footballcamps.monmouthhawks.com/,https://www.monmouth.edu/,"West Long Branch, New Jersey"
